,img_id,caption,base_img_name,base_img_url
0,31239020,i bet you cant press ctrl and like this meme,trollface,http://memegenerator.net//Trollface
1,24014506,i dont always make a meme but when i do i immediately press th,the-most-interesting-man-in-the-world,http://memegenerator.net//The-Most-Interesting-Man-In-The-World
2,10643552,if you are what you eat then arent cannibals the only real humans,philosoraptor,http://memegenerator.net//Philosoraptor
3,17978273,if bars cant serve drunk people mcdonalds shouldnt be able to serve fat people,philosoraptor,http://memegenerator.net//Philosoraptor
4,11023719,you get b on blood test failure run through veins,high-expectations-asian-father,http://memegenerator.net//High-Expectations-Asian-Father
5,14990530,what if oxygen is poisonous and takes 80 years to kill us,conspiracy-keanu,http://memegenerator.net//Conspiracy-Keanu
6,10521914,did you hear that apple guy died rip isaac newton,slowpoke,http://memegenerator.net//Slowpoke
7,82550008,winter is here youre fired,winter-is-coming,http://memegenerator.net//Winter-Is-Coming
8,18517924,if all men are the same why does it take a woman so long to choose,philosoraptor,http://memegenerator.net//Philosoraptor
9,21586644,sees you parked in handicapped spot breaks your legs so you dont get in trouble,good-guy-greg,http://memegenerator.net//Good-Guy-Greg
10,22410324,i dont always generate a meme but when i do i generate them tw,the-most-interesting-man-in-the-world,http://memegenerator.net//The-Most-Interesting-Man-In-The-World
11,19432458,if all the countries in the world are in debt where did all the money go,philosoraptor,http://memegenerator.net//Philosoraptor
12,22410328,i dont always generate a meme but when i do i generate them tw,the-most-interesting-man-in-the-world,http://memegenerator.net//The-Most-Interesting-Man-In-The-World
13,12162462,microwaving at midnight when everyone is asleep opens it with one second left so it do,good-guy-greg,http://memegenerator.net//Good-Guy-Greg
14,10891140,does a gif keep moving when you scroll it off the screen,philosoraptor,http://memegenerator.net//Philosoraptor
15,14461509,im gonna spend valentines day with my ex box 360,forever-alone,http://memegenerator.net//Forever-Alone
16,18762915,has 4950 achievements missing co op one,forever-alone,http://memegenerator.net//Forever-Alone
17,11247304,my girlfriend is like my ferrari i dont have one,forever-alone,http://memegenerator.net//Forever-Alone
18,10841973,creates meme doesnt upvote his own meme,good-guy-greg,http://memegenerator.net//Good-Guy-Greg
19,18814167,at his own house sure ill be player two,good-guy-greg,http://memegenerator.net//Good-Guy-Greg
20,10199462,why buy winrar if the trial never ends,philosoraptor,http://memegenerator.net//Philosoraptor
21,19321568,what if i really am the 1000000th visitor and i just missed out on a free ipad,conspiracy-keanu,http://memegenerator.net//Conspiracy-Keanu
22,32585047,if i download a movie in jamaica am i a pirate of the caribbean ,philosoraptor,http://memegenerator.net//Philosoraptor
23,11094628,if i delete recycle bin where will it go,philosoraptor,http://memegenerator.net//Philosoraptor
24,10890860,life getting tough means god is afraid of your progress,courage-wolf,http://memegenerator.net//Courage-Wolf
25,34136031,i like the titanic my favorite character was the iceberg,grumpy-cat,http://memegenerator.net//Grumpy-Cat
26,16027327,think about awkward situations from the past feel awkward again,socially-awkward-penguin,http://memegenerator.net//Socially-Awkward-Penguin
27,10634081,gets insulted and has no response spends rest of day thinking of comebacks,socially-awkward-penguin,http://memegenerator.net//Socially-Awkward-Penguin
28,10283185,didnt study for a test still get a higher grade than someone who did,success-kid,http://memegenerator.net//Success-Kid
29,17234491,if history is written by the victors why does french history exist,philosoraptor,http://memegenerator.net//Philosoraptor
30,10923151,a girl invited me over saying nobody was home nobody was home,forever-alone,http://memegenerator.net//Forever-Alone
31,14532813,i dont always talk to arts students but when i do i ask for la,the-most-interesting-man-in-the-world,http://memegenerator.net//The-Most-Interesting-Man-In-The-World
32,18932016,should be in god tier doesnt complain,good-guy-greg,http://memegenerator.net//Good-Guy-Greg
33,12282841,pokemon master why not pokemon phd,high-expectations-asian-father,http://memegenerator.net//High-Expectations-Asian-Father
34,10826780,recive long emotional text ok,trollface,http://memegenerator.net//Trollface
35,21645023,if its 10 times better than the leading brand then why isnt it the leading brand,philosoraptor,http://memegenerator.net//Philosoraptor
36,31112842,if apple made a car would it have windows,philosoraptor,http://memegenerator.net//Philosoraptor
37,22353627,i just read that 4153237 people got married last year i dont want to start trouble or ,philosoraptor,http://memegenerator.net//Philosoraptor
38,15150505,what if life is a videogame and dj vu are just checkpoints,philosoraptor,http://memegenerator.net//Philosoraptor
39,13855858,what if people used to be able to make wishes then someone wished they couldnt,conspiracy-keanu,http://memegenerator.net//Conspiracy-Keanu
40,11953164,commercial y u no same volume as show,y-u-no,http://memegenerator.net//Y-U-No
41,26808164,bad luck brian has a face only a mother can love has 2 dads,bad-luck-brian-meme,http://memegenerator.net//Bad-Luck-Brian-Meme
42,10260797,i told him to whisper dirty things in my ear he told me the kitchen living room din,internet-husband,http://memegenerator.net//Internet-Husband
43,18771583,what if calculus teachers are really just pirates and they use us to find x so they,conspiracy-keanu,http://memegenerator.net//Conspiracy-Keanu
44,29957990,facebook deletes thousands of fake profiles goes from 100 friends to zero overnight,forever-alone,http://memegenerator.net//Forever-Alone
45,15350195,goes to a gymsees some girls has a imaginary conversation with them,socially-awkward-penguin,http://memegenerator.net//Socially-Awkward-Penguin
46,12868317,i dont always use memes but when i do i use the wrong one,futurama-fry,http://memegenerator.net//Futurama-Fry
47,14525483,if you shouldnt talk to strangers then how do you make friends,philosoraptor,http://memegenerator.net//Philosoraptor
48,17951925,one does not simply one does not simply pee with a boner,one-does-not-simply-a,http://memegenerator.net//One-Does-Not-Simply-A
49,10933238,real life never heard of that server,butthurt-dweller,http://memegenerator.net//Butthurt-Dweller
50,18813309,what if this meme has 1000000 upvotes but the number of downvotes makes it seem rea,conspiracy-keanu,http://memegenerator.net//Conspiracy-Keanu
51,17847878,willy wonka oh age is just a number well jail must just be a room,willywonka,http://memegenerator.net//Willywonka
52,10634972,im not racist racism is a crime and crime is for black people,racist-dawg,http://memegenerator.net//Racist-Dawg
53,11399785,open a pack of gum in class have friends for 2 minutes,forever-alone,http://memegenerator.net//Forever-Alone
54,22594272,if japanese pop is jpop then is chinese rap crap,philosoraptor,http://memegenerator.net//Philosoraptor
55,32508974,makng a meme at meme generator nobody press the up arrow,forever-alone,http://memegenerator.net//Forever-Alone
56,35019010,if earth is the third planet from the sun doesnt that make every country a third world,philosoraptor,http://memegenerator.net//Philosoraptor
57,12775187,ugly girl y u play hard to get when u already hard to want,y-u-no,http://memegenerator.net//Y-U-No
58,19680895,if pro is opposite of con what is the opposite of constitution,philosoraptor,http://memegenerator.net//Philosoraptor
59,10771425,read socially awkward penguin worry that too many apply to you,socially-awkward-penguin,http://memegenerator.net//Socially-Awkward-Penguin
60,17094336,willy wonka oh you hate facebook please post another status all about it,willywonka,http://memegenerator.net//Willywonka
61,10902193,is an escpaed midget fortuneteller a small medium at large,philosoraptor,http://memegenerator.net//Philosoraptor
62,12038790,of course you have the freedom of choice violin or piano,high-expectations-asian-father,http://memegenerator.net//High-Expectations-Asian-Father
63,11376417,regret wasting time on the internet continue wasting time on the internet,foul-bachelor-frog,http://memegenerator.net//Foul-Bachelor-Frog
64,13935749,makes homework twice gives one to his dog,good-guy-greg,http://memegenerator.net//Good-Guy-Greg
65,16240992,victoria y u no tell us your secret,y-u-no,http://memegenerator.net//Y-U-No
66,14512521,if you make a camp to help kids with adhd is it a concentration camp,philosoraptor,http://memegenerator.net//Philosoraptor
67,36064295,my blood type b negative,grumpy-cat,http://memegenerator.net//Grumpy-Cat
68,11557924,grows up and finds out he was a meme gets laid because of it,success-kid,http://memegenerator.net//Success-Kid
69,15616636,what if oxygen makes our voice deeper and helium brings it back to normal,conspiracy-keanu,http://memegenerator.net//Conspiracy-Keanu
70,24790122,bad luck brian invents the time machine dad uses it to go back in time and put a condom on,bad-luck-brian-meme,http://memegenerator.net//Bad-Luck-Brian-Meme
71,23900637,bad luck brian creates imaginary girlfriend friend zoned,bad-luck-brian-meme,http://memegenerator.net//Bad-Luck-Brian-Meme
72,20410706,if europe uses euros shouldnt africa use afros,philosoraptor,http://memegenerator.net//Philosoraptor
73,31504449,you know what i like most about people they die,grumpy-cat,http://memegenerator.net//Grumpy-Cat
74,35334148,i hacked this meme so you cant upvote it,trollface,http://memegenerator.net//Trollface
75,34954087,what doesnt kill you disappoints me,grumpy-cat,http://memegenerator.net//Grumpy-Cat
76,10766575,uses proper grammar online says lol in real life,socially-awkward-penguin,http://memegenerator.net//Socially-Awkward-Penguin
77,16497265,i got 99 problems correct out of 100,successful-black-man,http://memegenerator.net//Successful-Black-Man
78,12280496,said something funny in public stranger laughed,success-kid,http://memegenerator.net//Success-Kid
79,10754907,i just heard the apple guy died rip isaac newton,trollface,http://memegenerator.net//Trollface
80,16375058,kony y u no take justin bieber,y-u-no,http://memegenerator.net//Y-U-No
81,15350197,go to gym check in on facebook so people know i have muscles,socially-awkward-penguin,http://memegenerator.net//Socially-Awkward-Penguin
82,18565182,if you shit on soap is the soap dirty or is the shit clean,philosoraptor,http://memegenerator.net//Philosoraptor
83,16715875,what if the reason we have no visitors from the future is because we have no future,conspiracy-keanu,http://memegenerator.net//Conspiracy-Keanu
84,10266013,rachel is online you say hey rachel is offline,socially-awkward-penguin,http://memegenerator.net//Socially-Awkward-Penguin
85,18139887,willy wonka oh you post bible verses on facebook youre definitely getting into heaven,willywonka,http://memegenerator.net//Willywonka
86,11508486,accidently clicked a link dont let go drag it over release,success-kid,http://memegenerator.net//Success-Kid
87,15222072,i hath indeed mortally wounded the constable however i firmly deny firing a high velo,joseph-ducreux,http://memegenerator.net//Joseph-Ducreux
88,17625456,first world problems eating potato chips cant hear the tv,first-world-problems-ii,http://memegenerator.net//First-World-Problems-Ii
89,21938134,they give a twilight book for my birthday i give them dantes inferno,disaster-girl,http://memegenerator.net//Disaster-Girl
90,25436202,bad luck brian zombie apocalypse gets chased by usain bolts zombie,bad-luck-brian-meme,http://memegenerator.net//Bad-Luck-Brian-Meme
91,10942815,ted y u no tell us how you met their mother,y-u-no,http://memegenerator.net//Y-U-No
92,34124863,if mac users care more about the environment why do macs have a trash can when windows,philosoraptor,http://memegenerator.net//Philosoraptor
93,37532594,why did cinderellas shoe fall off if it fit her perfectly,philosoraptor,http://memegenerator.net//Philosoraptor
94,11037593,finish fapping feel disgusted with subject of choice,foul-bachelor-frog,http://memegenerator.net//Foul-Bachelor-Frog
95,10528182,steals your identity online pays all your bills,good-guy-greg,http://memegenerator.net//Good-Guy-Greg
96,11496486,not sure if friends are dead or playing skyrim,futurama-fry,http://memegenerator.net//Futurama-Fry
97,17665129,if there is a zombie outbreak in vegas does it stay in vegas,philosoraptor,http://memegenerator.net//Philosoraptor
98,35924170,bad luck brian plays offline bots start votekick,bad-luck-brian-meme,http://memegenerator.net//Bad-Luck-Brian-Meme
99,11386461,google y u no let me finish typing,y-u-no,http://memegenerator.net//Y-U-No
100,18830851,willy wonka you responded with your mom you must win arguements all the time,willywonka,http://memegenerator.net//Willywonka
